"","X1","X","abr","precinct","address","pollname","abrprecincts","longitude","latitude","geocode_rating","clean_address"
"1",1,65,"BAK","1A","8274 Thomas Sweat Rd, Sanderson, FL 32087","Sanderson","BAK1A",-82.26697,30.24908,"2","NA Thomas Sweat Rd Sanderson FL 32087"
"2",2,66,"BAK","2A","153 W Minnesota Ave, Macclenny, FL 32063","South Macclenny","BAK2A",-82.12461,30.27754,"0","153 Minnesota Ave Macclenny FL 32063"
"3",3,67,"BAK","3A","1025 W MacClenny Ave, Macclenny, FL 32063","North Macclenny","BAK3A",-82.13424,30.2808,"0","1025 Macclenny Ave Macclenny FL 32063"
"4",4,68,"BAK","4A","27310 CR 127, Sanderson, FL 32087","Baxter","BAK4A",-85.02832,30.31117,"52","NA Cr 333 NA West Liberty FL 32321"
"5",5,69,"BAK","4B","26465 CR 250, Sanderson, FL 32087","Taylor","BAK4B",-85.03154,30.30942,"52","NA Cr 333 NA West Liberty FL 32321"
"6",6,70,"BAK","4C","1025 W MacClenny Ave, Macclenny, FL 32063","Macedonia","BAK4C",-82.13424,30.2808,"0","1025 Macclenny Ave Macclenny FL 32063"
"7",7,71,"BAK","4D","11226 Osceola rd, Glen St. Mary, FL 32040","Cuyler","BAK4D",-82.22848,30.39597,"14","11226 Osceola Rd Sanderson FL 32040"
"8",8,72,"BAK","5A","6512 US 90, Glen St. Mary, FL 32040","Glen St. Mary","BAK5A",-81.97351,28.15792,"37","NA US 98 Hwy Lakeland FL 33809"
"9",9,73,"BAK","6A","23311 Lakeside Lane, Olustee, FL 32072","Olustee","BAK6A",-81.75198,30.14304,"87","2999 Lakeside Villa Rd Lakeside FL 32073"
"10",10,962,"CIT","100","11025 W Dunnellon Rd, Crystal River, FL 34428","RED LEVEL BAPTIST CHURCH","CIT100",-82.61861,28.97451,"0","11025 Dunnellon Rd Crystal River FL 34428"
"11",11,963,"CIT","101","4801 N Citrus Ave, Crystal River, FL 34428","C.R. METHODIST CHURCH","CIT101",-82.5898,28.93157,"0","4801 Citrus Ave Crystal River FL 34428"
"12",12,964,"CIT","102","3429 W Dunnellon Rd, Dunnellon, FL 34433","RIVER GARDENS BAPTIST CHURCH","CIT102",-82.4926,29.03664,"12","3429 Dunnellon Rd Crystal River FL 34433"
"13",13,965,"CIT","103","9921 N Deltona Blvd, Citrus Springs, FL 34434","CITRUS SPRINGS CHURCH OF GOD","CIT103",-82.46815,29.00793,"0","9921 Deltona Blvd Citrus Springs FL 34434"
"14",14,966,"CIT","104","700 Citrus Ave, Crystal River, FL 34428","FIRST BAPTIST CHURCH OF C.R.","CIT104",-82.59321,28.9009,"2","700 Citrus Ave Crystal River FL 34428"
"15",15,967,"CIT","105","123 NW Highway 19, Crystal River, FL 34428","CRYSTAL RIVER CITY HALL","CIT105",-82.58452,28.89446,"21","123 19 US Hwy Crystal River FL 34429"
"16",16,968,"CIT","107","4958 W Crystal Oaks Dr, Lecanto, FL 34461","CRYSTAL OAKS CLUBHOUSE","CIT107",-82.49783,28.84732,"51","1098 Crystal Glen Dr Lecanto FL 34461"
"17",17,969,"CIT","108","2170 W Vet Ln, Beverly Hills, FL 34465","V.F.W. POST #10087","CIT108",-82.46949,28.91959,"10","2170 Vet Ln Pine Ridge FL 34465"
"18",18,970,"CIT","109","5690 W Pine Ridge Blvd, Beverly Hills, FL 34465","PINE RIDGE COMMUNITY BUILDING","CIT109",-82.52912,28.92876,"10","5690 Pine Ridge Blvd Pine Ridge FL 34465"
"19",19,971,"CIT","110","1570 W Citrus Springs Blvd, Citrus Springs, FL 34433","CITRUS SPG COMMUNITY CENTER","CIT110",-82.45954,28.97165,"2","1570 Citrus Springs Blvd Citrus Springs FL 34434"
